_id,url,time,fixtime,language,repositoryname,repositoryurl,star,commitnum,tag,day_of_fix
72,https://github.com/CGAL/cgal/pull/626,2016/1/13,2016/1/18,c,cgal,cgal,4400,106731,global memory leak,5
73,https://github.com/CGAL/cgal/pull/618,2016/1/12,2016/1/12,cpp,cgal,cgal,4400,106731,temporary memory leak,0
74,https://github.com/yhirose/cpp-httplib/pull/671,2020/9/28,2020/10/3,cpp,cpp-httplib,https://github.com/yhirose/cpp-httplib,11500,1279,parameter object leak,5
75,https://github.com/TheAlgorithms/C-Plus-Plus/pull/2439,2023/3/3,2023/3/31,cpp,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,28700,1660,temporary memory leak,28
76,https://github.com/TheAlgorithms/C-Plus-Plus/pull/2429,2023/1/28,2023/2/4,cpp,C-Plus-Plus,C-Plus-Plus,28700,1660,temporary memory leak,7
77,https://github.com/TheAlgorithms/C-Plus-Plus/pull/2235,2022/10/13,2023/1/10,cpp,C-Plus-Plus,C-Plus-Plus,28700,1660,data member leak,89
78,https://github.com/ceph/ceph/pull/54848,2023/12/10,2023/12/11,cpp,ceph,https://github.com/ceph/ceph,13000,143660,unclosed file/connection,1
79,https://github.com/ceph/ceph/pull/52276,2023/7/1,2023/12/18,cpp,ceph,ceph,13000,143660,temporary memory leak,170
81,https://github.com/ceph/ceph/pull/51648,2023/5/22,2023/7/25,cpp,ceph,ceph,13000,143660,exception,64
82,https://github.com/ceph/ceph/pull/50092,2023/2/13,2023/4/6,cpp,ceph,ceph,13000,143600,temporary memory leak,52
83,https://github.com/ceph/ceph/pull/50091,2023/2/13,2023/2/23,cpp,ceph,ceph,13300,143660,temporary memory leak,10
84,https://github.com/envoyproxy/envoy/pull/33311,2024/4/5,2024/4/5,cpp,envoy,,,,temporary memory leak,0
85,https://github.com/envoyproxy/envoy/pull/29140,2023/8/19,2023/8/19,cpp,envoy,,,,unclosed file/connection,0
86,https://github.com/envoyproxy/envoy/pull/28371,2023/7/13,2023/7/13,c,envoy,,,,early return,0
87,https://github.com/envoyproxy/envoy/pull/22371,2022/7/15,2022/9/14,cpp,envoy,,,,parameter object leak,61
88,https://github.com/envoyproxy/envoy/pull/21960,2022/6/30,2022/7/6,cpp,envoy,,,,global memory leak,6
89,https://github.com/envoyproxy/envoy/pull/19723,2022/1/28,2022/2/18,cpp,envoy,,,,unclosed file/connection,21
90,https://github.com/envoyproxy/envoy/pull/19714,2022/1/27,2022/2/11,cpp,envoy,,,,global memory leak,15
91,https://github.com/envoyproxy/envoy/pull/19611,2022/1/19,2022/2/23,cpp,envoy,,,,no limitation,35
92,https://github.com/envoyproxy/envoy/pull/17403,2021/5/27,2021/7/27,cpp,envoy,,,,unclosed file/connection,61
93,https://github.com/envoyproxy/envoy/pull/14596,2021/1/8,2021/1/8,c,envoy,,,,no limitation,0
95,https://github.com/envoyproxy/envoy/pull/7290,2019/6/15,2019/6/25,cpp,envoy,,,,wrong deallocator call,10
96,https://github.com/envoyproxy/envoy/pull/6777,2019/5/2,2019/5/3,cpp,envoy,,,,temporary memory leak,1
97,https://github.com/envoyproxy/envoy/pull/4226,2018/8/23,2018/8/24,cpp,envoy,,,,pointer overwrite,1
98,https://github.com/envoyproxy/envoy/pull/3890,2018/7/19,2018/7/19,cpp,envoy,,,,temporary memory leak,0
99,https://github.com/facebook/react-native/pull/9281,2016/8/8,2016/8/8,c,react-native,,,,incorrect array delete,0
100,https://github.com/facebook/react-native/pull/25884,2019/7/16,2019/8/21,cpp,Arduino,,,,temporary memory leak,36
101,https://github.com/electron/electron/pull/28469,2021/4/1,2021/4/2,cc,electron,,,,temporary memory leak,1
102,https://github.com/electron/electron/pull/27630,2020/12/16,2021/2/6,cc,electron,,,,data member leak,52
103,https://github.com/electron/electron/pull/24014,2020/6/8,2020/7/21,cc,electron,,,,unclosed file/connection,43
104,https://github.com/electron/electron/pull/16770,2018/10/30,2019/2/9,cpp,electron,,,,parameter object leak,102
105,https://github.com/electron/electron/pull/16448,2018/10/30,2019/1/25,cpp,electron,,,,data member leak,87
106,https://github.com/electron/electron/pull/3441,2015/11/11,2015/11/16,cpp,electron,,,,early return,5
